language,count
AR,44
EN,729
EN-US,2761
EN-ca,114
ENH,5
ES,8
EU,2
English,1437
FR,746
NL,10
NO,70
PT,38
PT-br,2
RU,145
SK,963
SQ,114
Sv,54
UR,86
aa,180
aa-aa,231
ab,1
af,1248
af-ZA,1
af-af,115
agq,2
ak,699
am,276
ar,20775
ar-EG,9
ar-MA,17
ar-SA,35
ar-ar,21
as,1
ast-ES,1
az,36
az-AZ,7
be,575
bg,2096
bg-BG,81
bn,12
bn-IN,1
bn-MM,274
bo,307
br,1
bs,78
bs-BA,110
ca,5899
ca-ES,128
ca-es,231
ckb,1
cs,22002
cs-CZ,150
cs-cs,125
cs-cz,118
csb-PL,5
cy,216
da,18862
da-DK,2528
da-da,203
da-dk,104
dan,10
de,134247
de-AT,1153
de-CH,452
de-DE,35862
de-at,3288
de-ch,1851
de-de,42980
de-lu,50
de_DE,612
de_de,29
deu,696
el,7391
el-GR,309
ell,27
en,1869161
en-AU,3967
en-CA,9516
en-EN,2
en-GB,12258
en-IE,1028
en-IN,75
en-NZ,105
en-PI,182
en-UK,99
en-US,228304
en-ZA,16
en-au,33409
en-bz,3
en-ca,29362
en-en,26
en-gb,78601
en-ie,2782
en-jm,29
en-nz,3006
en-ph,174
en-tt,11
en-uk,270
en-us,983063
en-za,1238
en-zw,21
en_CA,30
en_GB,7
en_US,148
eng,13332
eo,61
eo-UY,34
es,159278
es-419,4
es-AR,785
es-CL,36
es-CO,44
es-ES,39932
es-Es,96
es-LA,65
es-MX,336
es-PE,7
es-PR,610
es-US,309
es-ar,13501
es-bo,167
es-cl,8166
es-co,8974
es-cr,1293
es-do,4192
es-ec,1236
es-es,20282
es-gt,1082
es-hn,39
es-mx,37321
es-ni,343
es-pa,1015
es-pe,2028
es-pr,6811
es-py,632
es-sv,4347
es-us,2491
es-uy,1126
es-ve,2074
es_ES,200
et,5807
eu,164
eu-ES,2
fa,13102
fa-IR,400
fa-af,1023
fa-ir,486
fi,11261
fi-FI,490
fi-fi,445
fil,659
fin,8
fo,682
fo-FO,50
fr,144158
fr-BE,40
fr-CA,6101
fr-FR,15598
fr-be,847
fr-ca,8276
fr-ch,290
fr-fr,12992
fr_FR,114
fr_fr,53
fra,231
ga,473
gd,24
gl,398
gl-ES,138
gr,57
grc,28
gu,583
ha,119
he,18540
he-IL,2027
he-he,144
he-il,777
he_IL,100
heb,75
hi,3781
hi-hi,90
hin,1519
hr,260
hr-HR,2
hu,17584
hu-HU,406
hu-hu,164
hun,7
hy,464
hy-AM,5
ia,34
id,1554
id-ID,585
ig-NG,199
in,29844
in-ID,18
is,2487
is-IS,28
it,46827
it-IT,2983
it-ch,10
it-it,13325
ita,41
iw,484
ja,54546
ja-JP,417
ja-jp,1092
ja_JP,673
jp,20
jpn,5
ka,486
kk,113
kk-KZ,7
kl,28
kmr,5
kn,7
ko,6800
ko-KR,299
ko-ko,65
ko-kr,763
ku,250
la,218
lat,97
lo,305
lt,2618
lt-LT,10
lv,866
lv-LV,6
mg-MG,347
mk-MK,4
ml,2004
mn,10
mr,106
mr-mr,75
ms,553
mul,237
my,604
nb,5846
nb-NO,596
nb-SJ,2
nd,250
nds,51
ne,169
ne-NP,129
niu,5
nl,29273
nl-BE,86
nl-NL,5454
nl-be,5043
nl-nl,13550
nld,129
nn,280
no,30366
no-NO,99
no-no,132
nr,10
om,86
or-IN,100
pa,18
pl,55202
pl-PL,3867
pl-pl,756
pl_PL,454
pol,35
por,101
ps,251
pt,66085
pt-BR,8790
pt-PT,1111
pt-br,101280
pt-pt,13210
pt_BR,2
rn,1
ro,5688
ro-RO,31
ro-ro,2193
ro_RO,37
rs-RS,1
ru,41253
ru-RU,6348
ru-UA,1
ru-ru,5786
rus,18
rw,500
se,206
sh,10
si,45
sk,12358
sk-SK,415
sk-sk,1697
sl,8345
sl-SI,508
sl-si,382
sn,250
so,13
spa,303
sq,35
sr,5418
sr-RS,50
sr-SP-Latn,57
sv,63263
sv-SE,4729
sv-se,8078
sw,1034
ta,1313
tc,1
te,1038
te-te,5
tg,16
th,6848
th-TH,1
th-th,2937
th-us,1
ti-ET,257
tl,2310
to-to,56
tr,31472
tr-TR,231
tr-tr,277
ua,37
uk,1298
uk-UA,26
uk-ua,40
ur,1288
uz,250
vi,14243
vi-US,18
vi-VN,10
vi-vi,46
wo,163
yi,53
za,1
zh,9127
zh-CN,28995
zh-HK,728
zh-Hans,899
zh-Hant,89
zh-TW,241
zh-US,276
zh-cn,43597
zh-hans,58
zh-hk,1
zh-rtw,209
zh-tw,7274
zh_CN,1400
zh_TW,11358
zho,12
